question_id	section	state_code	question_number_in_section	question_text	option_a	option_b	option_c	option_d	source_notes
264	general	DE	264	Zu welchem Fest tragen Menschen in Deutschland bunte Kostüme und Masken?	am Rosenmontag	am Maifeiertag	beim Oktoberfest	an Pfingsten	
265	general	DE	265	Wohin muss man in Deutschland zuerst gehen, wenn man heiraten möchte?	zum Einwohnermeldeamt	zum Ordnungsamt	zur Agentur für Arbeit	zum Standesamt	
266	general	DE	266	Wann beginnt die gesetzliche Nachtruhe in Deutschland?	wenn die Sonne untergeht	wenn die Nachbarn schlafen gehen	um 0 Uhr, Mitternacht	um 22 Uhr	
267	general	DE	267	Eine junge Frau in Deutschland, 22 Jahre alt, lebt mit ihrem Freund zusammen. Die Eltern der Frau finden das nicht gut, weil ihnen der Freund nicht gefällt. Was können die Eltern tun?	Sie müssen die Entscheidung der volljährigen Tochter respektieren.	Sie haben das Recht, die Tochter in die elterliche Wohnung zurückzuholen.	Sie können zur Polizei gehen und die Tochter anzeigen.	Sie suchen einen anderen Mann für die Tochter.	
268	general	DE	268	Eine junge Frau will den Führerschein machen. Sie hat Angst vor der Prüfung, weil ihre Muttersprache nicht Deutsch ist. Was ist richtig?	Sie muss mindestens zehn Jahre in Deutschland leben, bevor sie den Führerschein machen kann.	Wenn sie kein Deutsch kann, darf sie keinen Führerschein haben.	Sie muss den Führerschein in dem Land machen, in dem man ihre Sprache spricht.	Sie kann die Theorie-Prüfung vielleicht in ihrer Muttersprache machen. Es gibt mehr als zehn Sprachen zur Auswahl.	
269	general	DE	269	In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf …	monatliches Taschengeld.	einen Platz in einem Sportverein.	einen Kindergartenplatz.	einen Ferienpass.	
270	general	DE	270	Die Volkshochschule in Deutschland ist eine Einrichtung …	für den Religionsunterricht.	nur für Jugendliche.	zur Weiterbildung.	nur für Rentnerinnen und Rentner.	
271	general	DE	271	Was ist in Deutschland ein Brauch zu Weihnachten?	bunte Eier verstecken	einen Tannenbaum schmücken	sich mit Masken und Kostümen verkleiden	Kürbisse vor die Tür stellen	
272	general	DE	272	Welche Lebensform ist in Deutschland nicht erlaubt?	Mann und Frau sind geschieden und leben mit neuen Partnern zusammen.	Zwei Frauen leben zusammen.	Ein alleinerziehender Vater lebt mit seinen zwei Kindern zusammen.	Ein Mann ist mit zwei Frauen zur selben Zeit verheiratet.	
273	general	DE	273	Bei Erziehungsproblemen gehen Sie in Deutschland …	zur Ärztin/zum Arzt.	zum Gesundheitsamt.	zum Einwohnermeldeamt.	zum Jugendamt.	
274	general	DE	274	Sie haben in Deutschland absichtlich einen Brief geöffnet, der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?	das Schweigerecht	das Briefgeheimnis	die Schweigepflicht	die Meinungsfreiheit	
275	general	DE	275	Was braucht man in Deutschland für eine Ehescheidung?	die Einwilligung der Eltern	ein Attest einer Ärztin/eines Arztes	die Einwilligung der Kinder	die Unterstützung einer Anwältin/eines Anwalts	
276	general	DE	276	Was sollten Sie tun, wenn Sie von Ihrer Ansprechpartnerin/Ihrem Ansprechpartner in einer deutschen Behörde schlecht behandelt werden?	Ich kann nichts tun.	Ich muss mir diese Behandlung gefallen lassen.	Ich drohe der Person.	Ich kann mich bei der Behördenleiterin/beim Behördenleiter beschweren.	
277	general	DE	277	Eine Frau, die ein zweijähriges Kind hat, bewirbt sich in Deutschland um eine Stelle. Was ist ein Beispiel für Diskriminierung? Sie bekommt die Stelle nur deshalb nicht, weil sie …	kein Englisch spricht.	zu hohe Gehaltsvorstellungen hat.	keine Erfahrungen in diesem Beruf hat.	Mutter ist.	
278	general	DE	278	Ein Mann im Rollstuhl hat sich auf eine Stelle als Buchhalter beworben. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil er …	im Rollstuhl sitzt.	keine Erfahrung hat.	zu hohe Gehaltsvorstellungen hat.	kein Englisch spricht.	
279	general	DE	279	"In den meisten Mietshäusern in Deutschland gibt es eine ""Hausordnung"". Was steht in einer solchen ""Hausordnung""? Sie nennt …"	Regeln für die Benutzung öffentlicher Verkehrsmittel.	alle Mieterinnen und Mieter im Haus.	Regeln, an die sich alle Bewohnerinnen und Bewohner halten müssen.	die Adresse des nächsten Ordnungsamtes.	
280	general	DE	280	Wenn Sie sich in Deutschland gegen einen falschen Steuerbescheid wehren wollen, müssen Sie …	nichts machen.	den Bescheid wegwerfen.	Einspruch einlegen.	warten, bis ein anderer Bescheid kommt.	
281	general	DE	281	Zwei Freunde wollen in ein öffentliches Schwimmbad in Deutschland. Beide haben eine dunkle Hautfarbe und werden deshalb nicht hineingelassen. Welches Recht wird in dieser Situation verletzt? Das Recht auf …	Meinungsfreiheit	Gleichbehandlung	Versammlungsfreiheit	Freizügigkeit	
282	general	DE	282	Welches Ehrenamt müssen deutsche Staatsbürgerinnen und Staatsbürger übernehmen, wenn sie dazu aufgefordert werden?	Vereinstrainerin/Vereinstrainer	Wahlhelferin/Wahlhelfer	Bibliotheksaufsicht	Lehrerin/Lehrer	
283	general	DE	283	Was tun Sie, wenn Sie eine falsche Rechnung von einer deutschen Behörde bekommen?	Ich lasse die Rechnung liegen.	Ich lege Widerspruch bei der Behörde ein.	Ich schicke die Rechnung an die Behörde zurück.	Ich gehe mit der Rechnung zum Finanzamt.	
284	general	DE	284	Was man für die Arbeit können muss, ändert sich in Zukunft sehr schnell. Was kann man tun?	Es ist egal, was man lernt.	Erwachsene müssen auch nach der Ausbildung immer weiter lernen.	Kinder lernen in der Schule alles, was im Beruf wichtig ist. Nach der Schule muss man nicht weiter lernen.	Alle müssen früher aufhören zu arbeiten, weil sich alles ändert.	
285	general	DE	285	Frau Frost arbeitet als fest angestellte Mitarbeiterin in einem Büro. Was muss sie nicht von ihrem Gehalt bezahlen?	Lohnsteuer	Beiträge zur Arbeitslosenversicherung	Beiträge zur Renten- und Krankenversicherung	Umsatzsteuer	
286	general	DE	286	Welche Organisation in einer Firma hilft den Arbeitnehmerinnen und Arbeitnehmern bei Problemen mit der Arbeitgeberin/dem Arbeitgeber?	der Betriebsrat	die Betriebsprüferin/der Betriebsprüfer	die Betriebsgruppe	das Betriebsmanagement	
287	general	DE	287	Sie möchten bei einer Firma in Deutschland ihr Arbeitsverhältnis beenden. Was müssen Sie beachten?	die Gehaltszahlungen	die Arbeitszeit	die Kündigungsfrist	die Versicherungspflicht	
288	general	DE	288	Woraus begründet sich Deutschlands besondere Verantwortung für Israel? □ aus der Mitgliedschaft in der Europäischen Union (EU) □ aus den nationalsozialistischen Verbrechen gegen Juden □ aus dem Grundgesetz der Bundesrepublik Deutschland □ aus der christlichen Tradition					
289	general	DE	289	Ein Mann mit dunkler Hautfarbe bewirbt sich um eine Stelle als Kellner in einem Restaurant in Deutschland. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil …	seine Deutschkenntnisse zu gering sind.	er zu hohe Gehaltsvorstellungen hat.	er eine dunkle Haut hat.	er keine Erfahrungen im Beruf hat.	
290	general	DE	290	Sie haben in Deutschland einen Fernseher gekauft. Zu Hause packen Sie den Fernseher aus, doch er funktioniert nicht. Der Fernseher ist kaputt. Was können Sie machen?	eine Anzeige schreiben	den Fernseher reklamieren	das Gerät ungefragt austauschen	die Garantie verlängern	
291	general	DE	291	Warum muss man in Deutschland bei der Steuererklärung aufschreiben, ob man zu einer Kirche gehört oder nicht? Weil …	es eine Kirchensteuer gibt, die an die Einkommen- und Lohnsteuer geknüpft ist.	das für die Statistik in Deutschland wichtig ist.	man mehr Steuern zahlen muss, wenn man nicht zu einer Kirche gehört.	die Kirche für die Steuererklärung verantwortlich ist.	
292	general	DE	292	Die Menschen in Deutschland leben nach dem Grundsatz der religiösen Toleranz. Was bedeutet das?	Es dürfen keine Moscheen gebaut werden.	Alle Menschen glauben an Gott.	Jeder kann glauben, was er möchte.	Der Staat entscheidet, an welchen Gott die Menschen glauben.	
293	general	DE	293	Was ist in Deutschland ein Brauch zu Ostern?	Kürbisse vor die Tür stellen	einen Tannenbaum schmücken	Eier bemalen	Raketen in die Luft schießen	
294	general	DE	294	Pfingsten ist ein …	christlicher Feiertag.	deutscher Gedenktag.	internationaler Trauertag.	bayerischer Brauch.	
295	general	DE	295	Welche Religion hat die europäische und deutsche Kultur geprägt?	der Hinduismus	das Christentum	der Buddhismus	der Islam	
296	general	DE	296	In Deutschland nennt man die letzten vier Wochen vor Weihnachten …	den Buß- und Bettag.	das Erntedankfest.	die Adventszeit.	Allerheiligen.	
297	general	DE	297	Aus welchem Land sind die meisten Migrantinnen und Migranten nach Deutschland gekommen?	Italien	Polen	Marokko	Türkei	
298	general	DE	298	In der DDR lebten vor allem Migrantinnen und Migranten aus …	Vietnam, Polen, Mosambik.	Frankreich, Rumänien, Somalia.	Chile, Ungarn, Simbabwe.	Nordkorea, Mexiko, Ägypten.	
299	general	DE	299	Ausländische Arbeitnehmerinnen und Arbeitnehmer, die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden, nannte man …	Schwarzarbeiterinnen/Schwarzarbeiter.	Gastarbeiterinnen/Gastarbeiter.	Zeitarbeiterinnen/Zeitarbeiter.	Schichtarbeiterinnen/Schichtarbeiter.	
300	general	DE	300	Aus welchem Land kamen die ersten Gastarbeiterinnen und Gastarbeiter in die Bundesrepublik Deutschland?	Italien	Spanien	Portugal	Türkei	
301	state	BY	1	Welches Wappen gehört zum Freistaat Bayern?	Bild 1	Bild 2	Bild 3	Bild 4	Official PDF uses image labels for answer options.
302	state	BY	2	Welches ist ein Landkreis in Bayern?	Prignitz	Rhein-Sieg-Kreis	Nordfriesland	Altötting	
303	state	BY	3	Für wie viele Jahre wird der Landtag in Bayern gewählt?	3	4	5	6	Official PDF uses numeric-only answer options.
304	state	BY	4	Ab welchem Alter darf man in Bayern bei Kommunalwahlen wählen?	14	16	18	20	Official PDF uses numeric-only answer options.
305	state	BY	5	Welche Farben hat die Landesflagge von Bayern?	blau-weiß-rot	weiß-blau	grün-weiß-rot	schwarz-gelb	
306	state	BY	6	Wo können Sie sich in Bayern über politische Themen informieren?	beim Ordnungsamt der Gemeinde	bei der Landeszentrale für politische Bildung	bei der Verbraucherzentrale	bei den Kirchen	
307	state	BY	7	Die Landeshauptstadt von Bayern heißt …	Ingolstadt.	Regensburg.	Nürnberg.	München.	
308	state	BY	8	Welches Bundesland ist Bayern?	1	2	3	4	Official PDF uses numeric-only answer options.
309	state	BY	9	Wie nennt man die Regierungschefin/den Regierungschef in Bayern?	Erste Ministerin/Erster Minister	Premierministerin/Premierminister	Bürgermeisterin/Bürgermeister	Ministerpräsidentin/Ministerpräsident	
310	state	BY	10	Welche Ministerin/welchen Minister hat Bayern nicht?	Justizministerin/Justizminister	Außenministerin/Außenminister	Finanzministerin/Finanzminister	Innenministerin/Innenminister	
